number_of_reviews,minimum_nights,neighbourhood_group,room_type,price
0.0,0.023218574859887906,0.5,0.0,446
0.017488076311605726,0.0008006405124099279,0.25,0.5,60
0.020667726550079493,0.0024019215372297837,0.25,0.0,150
0.009538950715421305,0.0016012810248198558,0.75,0.0,95
0.031796502384737683,0.0016012810248198558,0.5,0.0,275
0.0,0.0032025620496397116,0.75,0.5,65
0.0,0.004803843074459567,0.5,0.5,65
0.0,0.023218574859887906,0.5,0.0,263
0.001589825119236884,0.0016012810248198558,0.5,0.5,68
0.0397456279809221,0.0008006405124099279,0.25,0.5,75
0.0,0.0,0.5,0.5,110
0.151033386327504,0.0,0.5,0.5,99
0.009538950715421305,0.0008006405124099279,0.25,0.5,45
0.009538950715421305,0.023218574859887906,0.5,0.0,85
0.033386327503974564,0.0008006405124099279,0.25,0.5,65
0.0,0.0,0.5,0.5,249
0.0,0.0040032025620496394,0.25,0.5,50
0.001589825119236884,0.0008006405124099279,0.75,0.5,40
0.003179650238473768,0.0,0.5,0.5,110
0.015898251192368842,0.0,1.0,0.5,50
0.030206677265500796,0.0,0.5,0.5,848
0.003179650238473768,0.0,0.5,0.0,175
0.02384737678855326,0.0016012810248198558,0.5,0.0,175
0.09220985691573927,0.004803843074459567,0.5,0.0,300
0.001589825119236884,0.0008006405124099279,0.25,1.0,25
0.014308426073131956,0.023218574859887906,0.75,0.0,150
0.17806041335453102,0.0024019215372297837,0.25,0.0,116
0.05405405405405406,0.0,0.75,0.5,80
0.015898251192368842,0.0008006405124099279,0.75,0.5,54
0.0,0.0,0.5,0.0,599
0.0,0.0,0.5,0.0,199
0.004769475357710652,0.011208967173738989,0.5,0.5,82
0.03656597774244833,0.0024019215372297837,0.5,0.0,250
0.017488076311605726,0.0008006405124099279,0.25,0.5,100
0.0,0.02241793434747798,0.5,0.0,219
0.028616852146263912,0.0008006405124099279,0.5,0.0,150
0.0,0.0024019215372297837,0.25,0.0,70
0.001589825119236884,0.0,0.25,0.5,125
0.0,0.0008006405124099279,0.75,0.5,75
0.009538950715421305,0.023218574859887906,0.25,0.0,129
0.001589825119236884,0.0008006405124099279,0.5,0.0,125
0.057233704292527825,0.007205764611689351,0.5,0.5,150
0.07790143084260732,0.0008006405124099279,0.5,0.5,80
0.0,0.023218574859887906,0.25,0.5,45
0.041335453100158986,0.004803843074459567,0.25,0.5,46
0.0,0.023218574859887906,0.5,0.5,60
0.004769475357710652,0.0016012810248198558,0.5,0.0,251
0.0,0.0,0.5,0.0,500
0.13354531001589826,0.0008006405124099279,0.75,0.0,65
0.001589825119236884,0.0,0.25,0.5,60
0.0,0.0,0.5,0.5,100
0.004769475357710652,0.0,0.75,0.5,135
0.001589825119236884,0.0032025620496397116,0.5,0.0,300
0.01907790143084261,0.0,0.25,0.0,300
0.001589825119236884,0.0040032025620496394,0.5,0.0,248
0.012718600953895072,0.0016012810248198558,0.75,0.5,80
0.031796502384737683,0.0024019215372297837,0.25,0.0,180
0.006359300476947536,0.0016012810248198558,0.25,0.0,125
0.003179650238473768,0.0,0.5,0.0,444
0.03497615262321145,0.0024019215372297837,0.5,0.0,185
0.21462639109697934,0.0008006405124099279,0.5,0.0,140
0.015898251192368842,0.0,0.5,0.0,200
0.006359300476947536,0.0032025620496397116,0.5,0.0,110
0.003179650238473768,0.0,0.5,0.0,225
0.0,0.0,0.5,0.0,212
0.011128775834658189,0.0016012810248198558,0.25,0.0,150
0.18282988871224168,0.0008006405124099279,0.25,0.0,180
0.015898251192368842,0.0024019215372297837,0.75,0.5,105
0.2591414944356121,0.0016012810248198558,0.25,0.0,178
0.0,0.0,0.75,0.5,101
0.007949125596184421,0.015212169735788629,0.25,0.0,85
0.0,0.004803843074459567,0.25,0.0,275
0.44356120826709067,0.0008006405124099279,0.25,0.0,175
0.009538950715421305,0.0016012810248198558,0.5,0.0,265
0.022257551669316377,0.0,0.25,0.5,65
0.1192368839427663,0.0008006405124099279,0.75,0.5,25
0.06359300476947537,0.0016012810248198558,0.5,0.5,60
0.044515103338632754,0.0008006405124099279,0.25,0.5,55
0.012718600953895072,0.0016012810248198558,0.5,0.0,195
0.001589825119236884,0.004803843074459567,0.5,0.0,750
0.5325914149443561,0.0016012810248198558,0.25,0.5,101
0.025437201907790145,0.0008006405124099279,0.75,0.5,80
0.02384737678855326,0.0016012810248198558,0.25,0.0,125
0.06200317965023848,0.0,0.75,0.5,89
0.022257551669316377,0.0,0.5,0.5,149
0.001589825119236884,0.004803843074459567,0.25,0.5,56
0.012718600953895072,0.0016012810248198558,0.5,0.5,100
0.17011128775834658,0.0,0.5,0.5,124
0.15262321144674088,0.0,0.5,0.5,55
0.001589825119236884,0.010408326661329063,0.5,0.5,60
0.011128775834658189,0.0016012810248198558,0.5,0.0,175
0.017488076311605726,0.0016012810248198558,0.5,0.5,75
0.0,0.0,0.25,0.0,200
0.302066772655008,0.0008006405124099279,0.25,0.5,84
0.001589825119236884,0.02241793434747798,0.5,0.0,177
0.0,0.0,0.25,0.0,1200
0.017488076311605726,0.0,0.25,0.5,48
0.07472178060413355,0.0008006405124099279,0.5,0.0,250
0.003179650238473768,0.0,0.5,1.0,75
0.0,0.0,0.5,0.5,350
0.20349761526232116,0.0008006405124099279,0.5,0.5,289
0.022257551669316377,0.0,0.25,0.5,100
0.003179650238473768,0.0,0.25,0.0,400
0.0,0.007205764611689351,0.5,0.0,110
0.0,0.0008006405124099279,0.5,0.5,200
0.003179650238473768,0.004803843074459567,0.5,0.5,85
0.02702702702702703,0.0008006405124099279,0.5,0.0,140
0.004769475357710652,0.0,0.5,0.5,147
0.014308426073131956,0.0032025620496397116,0.25,0.5,63
0.0,0.0,0.5,0.5,80
0.0492845786963434,0.0016012810248198558,0.25,0.5,45
0.003179650238473768,0.023218574859887906,0.5,0.0,149
0.10810810810810811,0.0008006405124099279,0.5,0.0,200
0.0492845786963434,0.0008006405124099279,0.25,0.0,210
0.003179650238473768,0.0008006405124099279,0.5,0.5,160
0.0,0.0016012810248198558,0.5,0.0,170
0.011128775834658189,0.0008006405124099279,0.25,0.0,140
0.0,0.011208967173738989,0.25,1.0,30
0.006359300476947536,0.0,0.5,0.0,140
0.07472178060413355,0.0,0.75,0.5,48
0.009538950715421305,0.0008006405124099279,0.75,0.5,50
0.012718600953895072,0.0008006405124099279,0.25,0.5,90
0.003179650238473768,0.0016012810248198558,0.25,0.0,150
0.003179650238473768,0.0008006405124099279,0.25,0.5,54
0.0,0.004803843074459567,0.5,0.0,169
0.05405405405405406,0.0008006405124099279,0.25,0.0,450
0.044515103338632754,0.0,0.25,0.5,129
0.0,0.0016012810248198558,0.5,0.0,225
0.007949125596184421,0.0008006405124099279,0.25,0.0,190
0.001589825119236884,0.0016012810248198558,0.75,0.0,210
0.03815580286168522,0.0008006405124099279,0.25,0.5,55
0.012718600953895072,0.0024019215372297837,0.25,0.0,100
0.0492845786963434,0.0016012810248198558,0.5,0.0,814
0.001589825119236884,0.004803843074459567,0.5,0.5,169
0.0,0.0008006405124099279,0.25,0.5,70
0.04292527821939587,0.0008006405124099279,0.25,0.0,325
0.0,0.0008006405124099279,0.5,0.0,300
0.003179650238473768,0.0016012810248198558,0.25,0.0,400
0.046104928457869634,0.0,0.5,0.5,59
0.0,0.03522818254603683,0.5,0.5,35
0.02702702702702703,0.0,0.75,0.5,50
0.18600953895071543,0.0008006405124099279,0.75,0.0,100
0.0,0.023218574859887906,0.5,0.0,185
0.001589825119236884,0.023218574859887906,0.5,0.0,142
0.0,0.0,0.25,0.5,40
0.0,0.011208967173738989,0.5,0.5,91
0.0397456279809221,0.0,0.5,0.5,65
0.0,0.0,0.5,0.5,90
0.017488076311605726,0.007205764611689351,0.25,0.0,112
0.0,0.0,0.5,0.5,100
0.001589825119236884,0.0008006405124099279,0.25,0.5,50
0.004769475357710652,0.0008006405124099279,0.5,0.0,250
0.0,0.004803843074459567,0.5,0.0,135
0.014308426073131956,0.0008006405124099279,0.25,0.0,172
0.007949125596184421,0.0,0.25,0.5,100
0.04292527821939587,0.0,0.25,0.5,75
0.0906200317965024,0.0008006405124099279,0.75,0.0,75
0.020667726550079493,0.047237790232185745,0.25,0.5,29
0.004769475357710652,0.0008006405124099279,0.5,0.0,80
0.020667726550079493,0.0008006405124099279,0.25,0.5,75
0.009538950715421305,0.0,0.5,0.0,150
0.030206677265500796,0.0,0.5,0.5,209
0.0,0.0,0.5,0.0,235
0.001589825119236884,0.0,0.5,0.0,151
0.003179650238473768,0.0008006405124099279,0.25,0.0,250
0.014308426073131956,0.0,0.75,0.0,110
0.031796502384737683,0.0008006405124099279,0.25,0.5,150
0.046104928457869634,0.023218574859887906,0.25,0.5,46
0.001589825119236884,0.0008006405124099279,0.25,1.0,25
0.001589825119236884,0.0,0.5,0.0,175
0.001589825119236884,0.007205764611689351,0.5,0.0,188
0.006359300476947536,0.0,0.25,0.0,139
0.0,0.0,0.25,0.5,75
0.017488076311605726,0.0,0.5,0.5,75
0.007949125596184421,0.0016012810248198558,0.25,0.5,45
0.006359300476947536,0.29143314651721375,0.5,0.0,120
0.012718600953895072,0.0032025620496397116,0.5,0.0,495
0.05087440381558029,0.0,0.25,0.0,99
0.022257551669316377,0.004803843074459567,0.5,0.0,209
0.0,0.023218574859887906,0.5,0.0,220
0.0,0.0016012810248198558,0.25,0.5,50
0.0,0.0016012810248198558,0.5,0.0,400
0.007949125596184421,0.0008006405124099279,0.75,0.0,1000
0.014308426073131956,0.0040032025620496394,0.75,0.0,100
0.001589825119236884,0.0,0.5,0.0,179
0.033386327503974564,0.0,0.25,0.5,51
0.017488076311605726,0.0,0.5,0.5,150
0.02702702702702703,0.0,0.5,0.0,200
0.006359300476947536,0.0016012810248198558,0.5,0.0,199
0.03497615262321145,0.0,0.5,0.5,80
0.011128775834658189,0.023218574859887906,0.25,0.0,129
0.17329093799682035,0.0016012810248198558,0.25,0.0,75
0.0,0.0016012810248198558,0.25,0.0,500
0.033386327503974564,0.0024019215372297837,0.75,0.0,105
0.13195548489666137,0.0008006405124099279,0.75,0.5,60
0.0,0.0008006405124099279,0.25,0.5,60
0.001589825119236884,0.008807045636509206,0.25,0.5,48
0.0,0.0032025620496397116,0.25,0.5,32
0.006359300476947536,0.0,0.25,0.5,80
0.014308426073131956,0.004803843074459567,0.5,0.5,40
0.0,0.004803843074459567,0.25,0.5,40
0.004769475357710652,0.0032025620496397116,0.75,0.5,30
0.0,0.023218574859887906,0.5,0.0,283
0.0,0.0,0.25,0.5,85
0.031796502384737683,0.0032025620496397116,0.5,0.5,150
0.2511923688394277,0.0008006405124099279,0.25,0.0,168
0.1589825119236884,0.0016012810248198558,0.5,0.5,85
0.031796502384737683,0.0016012810248198558,0.25,0.0,275
0.0,0.0,0.75,0.5,80
0.15580286168521465,0.0008006405124099279,0.5,0.0,179
0.004769475357710652,0.0024019215372297837,0.25,0.0,165
0.11128775834658189,0.0016012810248198558,0.5,0.0,270
0.30365659777424486,0.0,0.5,0.5,130
0.020667726550079493,0.0008006405124099279,0.25,0.0,179
0.006359300476947536,0.0024019215372297837,0.5,0.5,60
0.0,0.023218574859887906,0.25,1.0,27
0.007949125596184421,0.0,0.75,0.5,85
0.11287758346581876,0.0016012810248198558,0.5,0.0,135
0.004769475357710652,0.0,0.25,0.5,120
0.03656597774244833,0.0008006405124099279,0.25,0.5,152
0.004769475357710652,0.011208967173738989,0.25,0.0,50
0.003179650238473768,0.007205764611689351,0.5,0.5,350
0.003179650238473768,0.0,0.25,0.0,86
0.0,0.02241793434747798,0.5,0.0,245
0.1399046104928458,0.016012810248198558,0.25,0.5,80
0.05882352941176471,0.0032025620496397116,0.25,0.5,120
0.001589825119236884,0.0008006405124099279,0.5,0.0,214
0.012718600953895072,0.0,0.25,0.5,200
0.09379968203497616,0.0,0.75,0.5,75
0.003179650238473768,0.0024019215372297837,0.5,0.5,100
0.07313195548489666,0.0,0.5,0.5,52
0.020667726550079493,0.0008006405124099279,0.5,0.0,249
0.006359300476947536,0.0,0.5,0.5,210
0.006359300476947536,0.0,0.5,0.0,70
0.046104928457869634,0.0,0.5,0.5,129
0.001589825119236884,0.023218574859887906,0.5,0.5,65
0.001589825119236884,0.0008006405124099279,0.5,0.5,45
0.001589825119236884,0.0016012810248198558,0.25,0.0,200
0.033386327503974564,0.0032025620496397116,0.25,0.0,175
0.06359300476947537,0.0,0.25,0.0,300
0.001589825119236884,0.023218574859887906,0.5,0.0,237
0.08108108108108109,0.0,0.75,1.0,30
0.030206677265500796,0.0008006405124099279,0.25,0.0,140
0.12877583465818762,0.0016012810248198558,0.5,0.0,489
0.01907790143084261,0.0008006405124099279,0.5,0.5,60
0.006359300476947536,0.0,0.25,0.5,65
0.007949125596184421,0.0008006405124099279,0.5,0.0,325
0.0,0.0,0.75,0.5,95
0.006359300476947536,0.0008006405124099279,0.25,0.0,145
0.6406995230524642,0.0008006405124099279,0.5,0.0,189
